concept_id,code,codetype,descrip
37002813,2395776,PR00,dulaglutide 6 MG/ML
37002814,2395778,PR00,dulaglutide 6 MG/ML [Trulicity]
37002815,2395780,PR00,dulaglutide 6 MG/ML Auto-Injector
37002816,2395781,PR00,dulaglutide 6 MG/ML Auto-Injector [Trulicity]
37002817,2395782,PR00,dulaglutide 9 MG/ML
37002818,2395784,PR00,dulaglutide 9 MG/ML [Trulicity]
37002819,2395786,PR00,dulaglutide 9 MG/ML Auto-Injector
37002820,2395787,PR00,dulaglutide 9 MG/ML Auto-Injector [Trulicity]
37003015,2398843,PR00,semaglutide 1.34 MG/ML Pen Injector
37003016,2398844,PR00,semaglutide 1.34 MG/ML Pen Injector [Ozempic]
37003606,2395777,PR00,0.5 ML dulaglutide 6 MG/ML Auto-Injector
37003607,2395779,PR00,0.5 ML dulaglutide 6 MG/ML Auto-Injector [Trulicity]
37003608,2395783,PR00,0.5 ML dulaglutide 9 MG/ML Auto-Injector
37003609,2395785,PR00,0.5 ML dulaglutide 9 MG/ML Auto-Injector [Trulicity]
37003616,2398841,PR00,3 ML semaglutide 1.34 MG/ML Pen Injector
37003617,2398842,PR00,3 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic]
37496746,2200658,PR00,semaglutide 7 MG Oral Tablet [Rybelsus]
37496828,2200640,PR00,semaglutide 14 MG
37496829,2200641,PR00,semaglutide Oral Product
37496830,2200642,PR00,semaglutide Pill
37496831,2200643,PR00,semaglutide Oral Tablet
37496832,2200644,PR00,semaglutide 14 MG Oral Tablet
37496834,2200646,PR00,semaglutide 14 MG [Rybelsus]
37496835,2200647,PR00,semaglutide Oral Tablet [Rybelsus]
37496836,2200648,PR00,Rybelsus Oral Product
37496837,2200649,PR00,Rybelsus Pill
37496838,2200650,PR00,semaglutide 14 MG Oral Tablet [Rybelsus]
37496839,2200651,PR00,semaglutide 3 MG
37496840,2200652,PR00,semaglutide 3 MG Oral Tablet
