concept_id,concept_code,concept_name,vocabulary_id
44819451,201.2,Hodgkin's sarcoma,09
44819452,201.20,"Hodgkin's sarcoma, unspecified site, extranodal and solid organ sites",09
44835698,201.21,"Hodgkin's sarcoma, lymph nodes of head, face, and neck",09
44826421,201.22,"Hodgkin's sarcoma, intrathoracic lymph nodes",09
44829831,201.23,"Hodgkin's sarcoma, intra-abdominal lymph nodes",09
44819453,201.24,"Hodgkin's sarcoma, lymph nodes of axilla and upper limb",09
44824044,201.25,"Hodgkin's sarcoma, lymph nodes of inguinal region and lower limb",09
44834511,201.72,"Hodgkin's disease, lymphocytic depletion, intrathoracic lymph nodes",09
44824046,201.73,"Hodgkin's disease, lymphocytic depletion, intra-abdominal lymph nodes",09
44820635,201.74,"Hodgkin's disease, lymphocytic depletion, lymph nodes of axilla and upper limb",09
44832145,201.75,"Hodgkin's disease, lymphocytic depletion, lymph nodes of inguinal region and lower limb",09
44835702,201.76,"Hodgkin's disease, lymphocytic depletion, intrapelvic lymph nodes",09
44819457,201.77,"Hodgkin's disease, lymphocytic depletion, spleen",09
44836865,201.78,"Hodgkin's disease, lymphocytic depletion, lymph nodes of multiple sites",09
44822899,201.9,"Hodgkin's disease, unspecified type",09
44836866,201.90,"Hodgkin's disease, unspecified type, unspecified site, extranodal and solid organ sites",09
44824047,201.91,"Hodgkin's disease, unspecified type, lymph nodes of head, face, and neck",09
44836867,201.92,"Hodgkin's disease, unspecified type, intrathoracic lymph nodes",09
44824048,201.93,"Hodgkin's disease, unspecified type, intra-abdominal lymph nodes",09
44827577,201.95,"Hodgkin's disease, unspecified type, lymph nodes of inguinal region and lower limb",09
44833323,201.96,"Hodgkin's disease, unspecified type, intrapelvic lymph nodes",09
44819458,201.97,"Hodgkin's disease, unspecified type, spleen",09
44829837,201.98,"Hodgkin's disease, unspecified type, lymph nodes of multiple sites",09
