"concept_id","concept_name","concept_code","vocabulary_id"
2846501,"Imaging @ Central Nervous System @ Magnetic Resonance Imaging (MRI) @ Brain @ None @ None","B030ZZ","ICD10PCS"
2846689,"Imaging @ Upper Arteries @ Magnetic Resonance Imaging (MRI) @ Intracranial Arteries @ Other Contrast @ Unenhanced and Enhanced","B33RY0","ICD10PCS"
2846690,"Imaging @ Upper Arteries @ Magnetic Resonance Imaging (MRI) @ Intracranial Arteries @ None","B33RZ","ICD10PCS"
2854257,"Imaging @ Upper Arteries @ Magnetic Resonance Imaging (MRI) @ Intracranial Arteries @ None @ None","B33RZZ","ICD10PCS"
2854561,"Imaging @ Veins @ Magnetic Resonance Imaging (MRI) @ Intracranial Sinuses @ Other Contrast @ Unenhanced and Enhanced","B532Y0","ICD10PCS"
2858488,"Imaging @ Anatomical Regions @ Magnetic Resonance Imaging (MRI) @ Head @ None","BW38Z","ICD10PCS"
2859775,"Imaging @ Central Nervous System @ Magnetic Resonance Imaging (MRI) @ Brain","B030","ICD10PCS"
2866647,"Imaging @ Fetus and Obstetrical @ Magnetic Resonance Imaging (MRI) @ Fetal Head @ None @ None","BY30ZZ","ICD10PCS"
2867928,"Imaging @ Central Nervous System @ Magnetic Resonance Imaging (MRI) @ Brain @ Other Contrast @ None","B030YZ","ICD10PCS"
2868105,"Imaging @ Upper Arteries @ Magnetic Resonance Imaging (MRI) @ Intracranial Arteries @ Other Contrast","B33RY","ICD10PCS"
2873460,"Imaging @ Veins @ Magnetic Resonance Imaging (MRI) @ Intracranial Sinuses @ None","B532Z","ICD10PCS"
2879599,"Imaging @ Anatomical Regions @ Magnetic Resonance Imaging (MRI) @ Head @ None @ None","BW38ZZ","ICD10PCS"
2881062,"Imaging @ Upper Arteries @ Magnetic Resonance Imaging (MRI) @ Intracranial Arteries","B33R","ICD10PCS"
2881063,"Imaging @ Upper Arteries @ Magnetic Resonance Imaging (MRI) @ Intracranial Arteries @ Other Contrast @ None","B33RYZ","ICD10PCS"
2881368,"Imaging @ Veins @ Magnetic Resonance Imaging (MRI) @ Cerebral and Cerebellar Veins @ None","B531Z","ICD10PCS"
2884805,"Imaging @ Fetus and Obstetrical @ Magnetic Resonance Imaging (MRI) @ Fetal Head @ Other Contrast","BY30Y","ICD10PCS"
2892605,"Imaging @ Fetus and Obstetrical @ Magnetic Resonance Imaging (MRI) @ Fetal Head","BY30","ICD10PCS"
2897668,"Imaging @ Veins @ Magnetic Resonance Imaging (MRI) @ Cerebral and Cerebellar Veins @ Other Contrast @ None","B531YZ","ICD10PCS"
2898822,"Imaging @ Anatomical Regions @ Magnetic Resonance Imaging (MRI) @ Head @ Other Contrast @ None","BW38YZ","ICD10PCS"
2899790,"Imaging @ Central Nervous System @ Magnetic Resonance Imaging (MRI) @ Brain @ Other Contrast @ Unenhanced and Enhanced","B030Y0","ICD10PCS"
2006956,"Magnetic resonance imaging of brain and brain stem","88.91","ICD9Proc"
608574,"Stereotactic MRI guided interstitial laser destruction of lesion of brain via burr hole","1362401000000106","SNOMED"
3521350,"MRI of brain","756591000000108","SNOMED"
3523714,"MRI angiography of head","183441000000105","SNOMED"
3525890,"MRI of head","270331000000107","SNOMED"
3525891,"MRI of brain with functional imaging","270341000000103","SNOMED"
3526385,"Magnetic resonance imaging of head","288091000000100","SNOMED"
3526426,"Magnetic resonance imaging of head","288601000000102","SNOMED"
3527038,"MRI of head with contrast","314431000000108","SNOMED"
3527277,"MRI of head for radiotherapy planning","322271000000105","SNOMED"
3529962,"Magnetic resonance imaging of fetal brain","508521000000100","SNOMED"
3543858,"Diffusion tensor MRI of brain","770551000000104","SNOMED"
3551455,"Magnetic resonance imaging of brain abnormal","97791000000107","SNOMED"
3551928,"Magnetic resonance imaging of brain abnormal","106561000000100","SNOMED"
3553186,"Magnetic resonance imaging of brain normal","187611000000102","SNOMED"
3553293,"Magnetic resonance imaging of brain normal","191051000000101","SNOMED"
3563704,"MRI venography of cerebral veins","184141000000104","SNOMED"
3564786,"MRI guided brain marking","322841000000103","SNOMED"
3565106,"MRI cerebral perfusion study","184091000000105","SNOMED"
3566766,"Diffusion weighted MRI of brain","322851000000100","SNOMED"
3570729,"MRI venography of intracranial veins","184151000000101","SNOMED"
3585294,"Diffusion tensor MRI of cerebral nerve tracts","770591000000107","SNOMED"
4082706,"MRI of brain with functional imaging","241603006","SNOMED"
4082846,"MRI of cerebral vessels","241664002","SNOMED"
4082848,"Magnetic resonance proton spectroscopy of head","241675003","SNOMED"
4082979,"MRI of head","241601008","SNOMED"
4082992,"Magnetic resonance sodium spectroscopy of head","241676002","SNOMED"
4083224,"MRI of brain with T2 mapping","241602001","SNOMED"
4084305,"Magnetic resonance spectroscopy of head","241672000","SNOMED"
4086413,"Magnetic resonance phosphorus spectroscopy of head","241673005","SNOMED"
4090064,"Brainstem auditory evoked magnetic fields","251642003","SNOMED"
4105925,"MRI of brain and brain stem","29567006","SNOMED"
4167206,"Magnetic resonance imaging of brain normal","416318006","SNOMED"
4167390,"Magnetic resonance angiography of vascular structure of head","417936006","SNOMED"
4171206,"MRI cerebral perfusion study","419059006","SNOMED"
4197203,"MRI of head with contrast","432874000","SNOMED"
4199388,"MRI of head for radiotherapy planning","432022004","SNOMED"
4205516,"MRI of head for planning of stereotactic radiotherapy","439709003","SNOMED"
4236309,"Magnetic resonance imaging of brain abnormal","407669000","SNOMED"
4302795,"MRI venography of intracranial veins","418463004","SNOMED"
4304577,"MRI venography of cerebral veins","419701008","SNOMED"
4328167,"MRI guided marking of skin of head","431402006","SNOMED"
4329772,"Diffusion weighted magnetic resonance imaging of brain","431999000","SNOMED"
36685426,"PET MRI of head","1097621000000101","SNOMED"
36685427,"PET MRI of head with contrast","1097631000000104","SNOMED"
36685472,"MRI of head with contrast for proton therapy planning","1098081000000109","SNOMED"
36713042,"MR venography of intracranial veins without contrast","16333021000119102","SNOMED"
36713050,"Magnetic resonance spectroscopy of brain without contrast","16339401000119102","SNOMED"
36713053,"Magnetic resonance angiography of brain and neck without contrast","16383121000119106","SNOMED"
36713175,"MRI of brain and brain stem without contrast","383321000119107","SNOMED"
36713228,"MRI of brain and internal auditory canal without contrast","411301000119105","SNOMED"
36713233,"MRI of brain and facial bones without contrast","411911000119107","SNOMED"
36713243,"Magnetic resonance angiography of head without contrast","437731000119100","SNOMED"
36713262,"MRI of brain without contrast","489801000119103","SNOMED"
36713263,"Magnetic resonance angiography of head and brain without contrast","489811000119100","SNOMED"
36717294,"MRI of brain with contrast","16327691000119101","SNOMED"
36717320,"MRI of brain and brain stem with contrast","395611000119106","SNOMED"
37016146,"MRI of head abnormal","116131000119107","SNOMED"
37156143,"Magnetic resonance angiography of intracranial vessels","1162758002","SNOMED"
37156144,"Magnetic resonance angiography of cerebrovascular system","1162759005","SNOMED"
37209055,"Dynamic MRI of head and neck with contrast","1111841000000105","SNOMED"
37311324,"MRI of brain","816077007","SNOMED"
40480193,"Intraoperative magnetic resonance imaging of brain with contrast","444585009","SNOMED"
40480579,"MRI of brain of fetus","443232007","SNOMED"
40482365,"MRI of brain using isotropic resolution","443602007","SNOMED"
40482366,"MRI of brain with contrast using isotropic resolution","443603002","SNOMED"
40486480,"MRI of brain stem","446138008","SNOMED"
40489395,"Diffusion tensor magnetic resonance imaging of brain","448306001","SNOMED"
44784284,"MRI for measurement of brain volume","698354004","SNOMED"
44784285,"Magnetic resonance imaging for measurement of brain volume with contrast","698355003","SNOMED"
44792667,"MRI of head for stereotactic planning","359071000000107","SNOMED"
44801877,"Functional magnetic resonance imaging of head","509321000000100","SNOMED"
44802712,"Magnetic resonance imaging of brain volume","504161000000105","SNOMED"
44802713,"Magnetic resonance imaging of brain volume with contrast","504171000000103","SNOMED"
44809220,"MRI angiography of head with contrast","824691000000101","SNOMED"
45765683,"Magnetic resonance angiography of head with contrast","702684006","SNOMED"
45765716,"MRI of head and neck with contrast","702724004","SNOMED"
45765717,"MRI of head and neck","702725003","SNOMED"
45765718,"Magnetic resonance angiography of head and neck","702726002","SNOMED"
45765719,"MR angiography of head and neck with contrast","702727006","SNOMED"
46271450,"Magnetic resonance venography of intracranial vein with contrast","709574000","SNOMED"
