code,codetype,descrip,ingredient
1859001,PR00,insulin glargine 100 UNT/ML / lixisenatide 0.033 MG/ML Pen Injector,lixisenatide/insulin glargine
1859002,PR00,insulin glargine 100 UNT/ML / lixisenatide 0.033 MG/ML Pen Injector [Soliqua],lixisenatide/insulin glargine
1859002,PR00,insulin glargine 100 UNT/ML / lixisenatide 0.033 MG/ML Pen Injector [Soliqua],lixisenatide/insulin glargine
2589007,PR00,insulin glargine-aglr 100 UNT/ML,lixisenatide/insulin glargine
2589009,PR00,insulin glargine-aglr 100 UNT/ML Pen Injector,lixisenatide/insulin glargine
2589011,PR00,insulin glargine-aglr 100 UNT/ML [Rezvoglar],lixisenatide/insulin glargine
2589012,PR00,Rezvoglar Injectable Product,lixisenatide/insulin glargine
2589013,PR00,insulin glargine Pen Injector [Rezvoglar],lixisenatide/insulin glargine
2589015,PR00,insulin glargine-aglr 100 UNT/ML Pen Injector [Rezvoglar],lixisenatide/insulin glargine
2589008,PR00,3 ML insulin glargine-aglr 100 UNT/ML Pen Injector,lixisenatide/insulin glargine
2589014,PR00,3 ML insulin glargine-aglr 100 UNT/ML Pen Injector [Rezvoglar],lixisenatide/insulin glargine
285018,PR00,insulin glargine 100 UNT/ML Injectable Solution [Lantus],lixisenatide/insulin glargine
311041,PR00,insulin glargine 100 UNT/ML Injectable Solution,lixisenatide/insulin glargine
575068,PR00,insulin glargine 100 UNT/ML [Lantus],lixisenatide/insulin glargine
847230,PR00,3 ML insulin glargine 100 UNT/ML Pen Injector,lixisenatide/insulin glargine
1736860,PR00,insulin glargine 100 UNT/ML [Basaglar],lixisenatide/insulin glargine
1736861,PR00,insulin glargine Pen Injector [Basaglar],lixisenatide/insulin glargine
1736863,PR00,3 ML insulin glargine 100 UNT/ML Pen Injector [Basaglar],lixisenatide/insulin glargine
1736864,PR00,insulin glargine 100 UNT/ML Pen Injector [Basaglar],lixisenatide/insulin glargine
1157459,PR00,insulin glargine Injectable Product,lixisenatide/insulin glargine
1175624,PR00,Lantus Injectable Product,lixisenatide/insulin glargine
1440053,PR00,lixisenatide Injectable Product,lixisenatide/insulin glargine
1736862,PR00,Basaglar Injectable Product,lixisenatide/insulin glargine
1604543,PR00,Toujeo Injectable Product,lixisenatide/insulin glargine
2268064,PR00,Sensor 3 ML insulin glargine 100 UNT/ML Pen Injector,lixisenatide/insulin glargine
2268065,PR00,Sensor 3 ML insulin glargine 100 UNT/ML Pen Injector [Basaglar],lixisenatide/insulin glargine
378864,PR00,insulin glargine Injectable Solution,lixisenatide/insulin glargine
362585,PR00,insulin glargine Injectable Solution [Lantus],lixisenatide/insulin glargine
1803903,PR00,{1 (3 ML lixisenatide 0.05 MG/ML Pen Injector [Adlyxin]) / 1 (3 ML lixisenatide 0.1 MG/ML Pen Injector [Adlyxin]) } Pack [Adlyxin Starter Kit],lixisenatide/insulin glargine
1803885,PR00,lixisenatide Pen Injector,lixisenatide/insulin glargine
