code,codetype,descrip,ingredient
2669717,PR00,tirzepatide 25 MG/ML [Zepbound],tirzepatide
2669719,PR00,tirzepatide 25 MG/ML Auto-Injector [Zepbound],tirzepatide
2669720,PR00,tirzepatide 30 MG/ML [Zepbound],tirzepatide
2669722,PR00,tirzepatide 30 MG/ML Auto-Injector [Zepbound],tirzepatide
2644396,PR00,0.5 ML tirzepatide 15 MG/ML Injection,tirzepatide
2644399,PR00,0.5 ML tirzepatide 15 MG/ML Injection [Mounjaro],tirzepatide
2644401,PR00,0.5 ML tirzepatide 10 MG/ML Injection,tirzepatide
2644403,PR00,0.5 ML tirzepatide 10 MG/ML Injection [Mounjaro],tirzepatide
2644405,PR00,0.5 ML tirzepatide 5 MG/ML Injection,tirzepatide
2644407,PR00,0.5 ML tirzepatide 5 MG/ML Injection [Mounjaro],tirzepatide
2644409,PR00,0.5 ML tirzepatide 30 MG/ML Injection,tirzepatide
2644411,PR00,0.5 ML tirzepatide 30 MG/ML Injection [Mounjaro],tirzepatide
2644413,PR00,0.5 ML tirzepatide 25 MG/ML Injection,tirzepatide
2644415,PR00,0.5 ML tirzepatide 25 MG/ML Injection [Mounjaro],tirzepatide
2644417,PR00,0.5 ML tirzepatide 20 MG/ML Injection,tirzepatide
2644419,PR00,0.5 ML tirzepatide 20 MG/ML Injection [Mounjaro],tirzepatide
2669706,PR00,0.5 ML tirzepatide 5 MG/ML Auto-Injector [Zepbound],tirzepatide
2669709,PR00,0.5 ML tirzepatide 10 MG/ML Auto-Injector [Zepbound],tirzepatide
2669712,PR00,0.5 ML tirzepatide 15 MG/ML Auto-Injector [Zepbound],tirzepatide
2669715,PR00,0.5 ML tirzepatide 20 MG/ML Auto-Injector [Zepbound],tirzepatide
2669718,PR00,0.5 ML tirzepatide 25 MG/ML Auto-Injector [Zepbound],tirzepatide
2669721,PR00,0.5 ML tirzepatide 30 MG/ML Auto-Injector [Zepbound],tirzepatide
2601723,PR00,tirzepatide,tirzepatide
2601730,PR00,tirzepatide Injectable Product,tirzepatide
2601731,PR00,tirzepatide Auto-Injector,tirzepatide
2601736,PR00,Mounjaro Injectable Product,tirzepatide
2601737,PR00,tirzepatide Auto-Injector [Mounjaro],tirzepatide
2601742,PR00,tirzepatide 10 MG/ML,tirzepatide
2601744,PR00,tirzepatide 10 MG/ML Auto-Injector,tirzepatide
2601745,PR00,tirzepatide 10 MG/ML [Mounjaro],tirzepatide
2601747,PR00,tirzepatide 10 MG/ML Auto-Injector [Mounjaro],tirzepatide
2601754,PR00,tirzepatide 30 MG/ML,tirzepatide
2601756,PR00,tirzepatide 30 MG/ML Auto-Injector,tirzepatide
2601757,PR00,tirzepatide 30 MG/ML [Mounjaro],tirzepatide
2601759,PR00,tirzepatide 30 MG/ML Auto-Injector [Mounjaro],tirzepatide
2601760,PR00,tirzepatide 5 MG/ML,tirzepatide
2601762,PR00,tirzepatide 5 MG/ML Auto-Injector,tirzepatide
2601763,PR00,tirzepatide 5 MG/ML [Mounjaro],tirzepatide
2601765,PR00,tirzepatide 5 MG/ML Auto-Injector [Mounjaro],tirzepatide
2601766,PR00,tirzepatide 20 MG/ML,tirzepatide
2601768,PR00,tirzepatide 20 MG/ML Auto-Injector,tirzepatide
2601769,PR00,tirzepatide 20 MG/ML [Mounjaro],tirzepatide
2601771,PR00,tirzepatide 20 MG/ML Auto-Injector [Mounjaro],tirzepatide
2601772,PR00,tirzepatide 25 MG/ML,tirzepatide
2601774,PR00,tirzepatide 25 MG/ML Auto-Injector,tirzepatide
2601775,PR00,tirzepatide 25 MG/ML [Mounjaro],tirzepatide
2601777,PR00,tirzepatide 25 MG/ML Auto-Injector [Mounjaro],tirzepatide
2601778,PR00,tirzepatide 15 MG/ML,tirzepatide
2601780,PR00,tirzepatide 15 MG/ML Auto-Injector,tirzepatide
2601781,PR00,tirzepatide 15 MG/ML [Mounjaro],tirzepatide
2601783,PR00,tirzepatide 15 MG/ML Auto-Injector [Mounjaro],tirzepatide
2601743,PR00,0.5 ML tirzepatide 10 MG/ML Auto-Injector,tirzepatide
2601746,PR00,0.5 ML tirzepatide 10 MG/ML Auto-Injector [Mounjaro],tirzepatide
2601755,PR00,0.5 ML tirzepatide 30 MG/ML Auto-Injector,tirzepatide
2601758,PR00,0.5 ML tirzepatide 30 MG/ML Auto-Injector [Mounjaro],tirzepatide
2601761,PR00,0.5 ML tirzepatide 5 MG/ML Auto-Injector,tirzepatide
2601764,PR00,0.5 ML tirzepatide 5 MG/ML Auto-Injector [Mounjaro],tirzepatide
2601767,PR00,0.5 ML tirzepatide 20 MG/ML Auto-Injector,tirzepatide
2601770,PR00,0.5 ML tirzepatide 20 MG/ML Auto-Injector [Mounjaro],tirzepatide
2601773,PR00,0.5 ML tirzepatide 25 MG/ML Auto-Injector,tirzepatide
2601776,PR00,0.5 ML tirzepatide 25 MG/ML Auto-Injector [Mounjaro],tirzepatide
2601784,PR00,0.5 ML tirzepatide 15 MG/ML Auto-Injector,tirzepatide
2601785,PR00,0.5 ML tirzepatide 15 MG/ML Auto-Injector [Mounjaro],tirzepatide
2679316,PR00,tirzepatide Injection [Zepbound],tirzepatide
2679318,PR00,tirzepatide 20 MG/ML Injection [Zepbound],tirzepatide
2679320,PR00,tirzepatide 25 MG/ML Injection [Zepbound],tirzepatide
2679322,PR00,tirzepatide 30 MG/ML Injection [Zepbound],tirzepatide
2679324,PR00,tirzepatide 5 MG/ML Injection [Zepbound],tirzepatide
2679326,PR00,tirzepatide 10 MG/ML Injection [Zepbound],tirzepatide
2679328,PR00,tirzepatide 15 MG/ML Injection [Zepbound],tirzepatide
2679317,PR00,0.5 ML tirzepatide 20 MG/ML Injection [Zepbound],tirzepatide
2679319,PR00,0.5 ML tirzepatide 25 MG/ML Injection [Zepbound],tirzepatide
2679321,PR00,0.5 ML tirzepatide 30 MG/ML Injection [Zepbound],tirzepatide
2679323,PR00,0.5 ML tirzepatide 5 MG/ML Injection [Zepbound],tirzepatide
2679325,PR00,0.5 ML tirzepatide 10 MG/ML Injection [Zepbound],tirzepatide
2679327,PR00,0.5 ML tirzepatide 15 MG/ML Injection [Zepbound],tirzepatide
